pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
reversal → reversal,TJS,9,99,94,1.041245633528159,0.9772322093209702,-0.06401342420718881,-0.1748203820240116,0.0,-12.798546770904508,-23.327817032226825,-10.529270261322317,-27.86683176442352,0.0,9,-0.1748203820240116,0.0,-27.86683176442352,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,UZS,10,112,112,1.2112723727209884,1.2112723727209884,0.0,0.0,0.0,9.758810550670196,9.758810550670196,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,all,55,988,607,0.9804468066353104,0.979313228787639,-0.0011335778476713188,-0.051412256875428906,0.04885695171846727,-6.443570074061485,-7.971275391083426,-1.5277053170219412,-20.12648602062538,14.812435385652122,11,-0.05049817431801555,0.05384779406045547,-31.217796820145647,21.137378068325162,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,AMD,11,186,113,0.9817382671657228,1.081799092718736,0.10006082555301321,0.01809294622631826,0.20100182495129126,-24.0871077332595,3.83163673081326,27.91874446407276,12.295418200622471,41.55759366068245,11,0.01809294622631826,0.20100182495129126,12.295418200622471,41.55759366068245,вариант,вариант,вариант,вариант
momentum → momentum,KGS,11,139,128,0.8870908050079526,0.8966594489323815,0.00956864392442891,-0.0012963687719098138,0.038653592121655124,-7.7925461620332435,-6.586537762888405,1.2060083991448387,-1.6583099494431603,6.288280457380798,11,-0.0012963687719098138,0.038653592121655124,-1.6583099494431603,6.288280457380798,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,KZT,11,229,122,1.0391604794783253,0.9738624322354538,-0.06529804724287158,-0.1947171913481274,0.08428046465047316,7.85627867059468,-3.9523095108780772,-11.808588181472757,-48.69435432744802,27.02729247544589,11,-0.1947171913481274,0.08428046465047316,-48.69435432744802,27.02729247544589,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,TJS,11,218,120,0.9889024094928547,0.9399034891400988,-0.04899892035275588,-0.15103691152030047,0.06496814104475476,-1.9247955101404122,-29.644821308358782,-27.72002579821837,-82.01992866764351,9.131411595637234,11,-0.15103691152030047,0.06496814104475476,-82.01992866764351,9.131411595637234,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,UZS,11,216,124,0.9690330891061492,1.0147440978307658,0.04571100872461664,-0.05719263258361368,0.1408856063952118,-10.103535521386247,-3.1363061450777785,6.9672293763084685,-64.68446597976292,57.54687855381222,11,-0.05719263258361368,0.1408856063952118,-64.68446597976292,57.54687855381222,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,all,55,134,138,1.0311448924491056,1.1655582419878259,0.1344133495387203,0.06610077424151625,0.21182725098294988,43.5513928125129,70.60191554147862,27.050522728965717,5.873884014920022,50.51948226778117,11,0.06774488136595233,0.20131489709569053,-1.0941854851026356,59.08253302483295,вариант,вариант,вариант,разницы нет
seasonality → seasonality,AMD,11,19,23,1.1924692350026247,1.243442167025449,0.05097293202282427,0.0,0.11876635079396039,117.27718617973183,122.90379659552785,5.626610415796023,-55.97914954791195,38.682746102479115,11,0.0,0.11876635079396039,-55.97914954791195,38.682746102479115,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KGS,11,29,29,0.8905842467271253,0.8905842467271253,0.0,0.0,0.0,10.364525874683729,10.364525874683729,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KZT,11,32,32,1.017048410853528,1.3760066735077146,0.3589582626541865,0.1621858048921142,0.6108976695870276,25.206193642492604,91.62679577960664,66.42060213711403,11.859828764814761,139.15823702484153,11,0.1621858048921142,0.6108976695870276,11.859828764814761,139.15823702484153,вариант,вариант,вариант,вариант
seasonality → seasonality,TJS,11,28,28,0.9373171769724694,1.1247806123669633,0.18746343539449384,0.0,0.35837449032571744,44.69109509289511,86.94815420637497,42.257059113479855,-29.341867233812295,109.86991674428742,11,0.0,0.35837449032571744,-29.341867233812295,109.86991674428742,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,UZS,11,26,26,1.1810012660158136,1.1810012660158136,0.0,0.0,0.0,48.042307305198804,48.042307305198804,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
