indicator,sent_latest,muted_latest,thinned_latest,cooldown_latest,storm_latest,sent_variant,muted_variant,thinned_variant,cooldown_variant,storm_variant
dip_vs_trend,54,309,38,90,5,62,309,31,89,5
level,193,146,76,192,16,190,167,54,171,11
ml_localmin,84,40,61,81,6,102,40,52,72,6
momentum,239,484,88,152,25,116,321,68,83,19
reversal,90,295,5,125,10,86,295,8,121,10
seasonality,75,12,24,18,5,85,4,20,23,6
