indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,hit_mean_trunc,base_mean_trunc,n_scored_trunc,lift_mean_trunc,benefit_excess_trunc
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,1,0.0,48,48,0.4791666666666667,0.545631067961165,0.878188018979834,0.6109134045077106,1.1454626334519573,0.4791666666666667,0.545631067961165,0.878188018979834,-2.0539605823188567,2.2551949417680768,-4.3091555240869335,-12.870273811992384,4.1389898864001236,-10.615078870224307,6.394184828168201,-6.738941006488544,2.613327481031565,11.002394232061695,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,1,10.0,48,48,0.6875,0.7009708737864078,0.9807825484764543,0.7727377654662972,1.159106648199446,0.6875,0.7009708737864078,0.9807825484764543,-2.0539605823188567,2.2551949417680768,-4.3091555240869335,-12.870273811992384,4.1389898864001236,-10.615078870224307,6.394184828168201,-6.738941006488544,2.613327481031565,11.002394232061695,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,1,25.0,48,48,0.8125,0.8271844660194175,0.9822476525821595,0.8311326291079811,1.1081768388106414,0.8125,0.8271844660194175,0.9822476525821595,-2.0539605823188567,2.2551949417680768,-4.3091555240869335,-12.870273811992384,4.1389898864001236,-10.615078870224307,6.394184828168201,-6.738941006488544,2.613327481031565,11.002394232061695,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,1,50.0,48,48,0.8958333333333334,0.9216828478964402,0.9719540028089888,0.8815396769662921,1.0623683286516854,0.8958333333333334,0.9216828478964402,0.9719540028089888,-2.0539605823188567,2.2551949417680768,-4.3091555240869335,-12.870273811992384,4.1389898864001236,-10.615078870224307,6.394184828168201,-6.738941006488544,2.613327481031565,11.002394232061695,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,4,0.0,48,48,0.375,0.33915857605177996,1.1056774809160304,0.7371183206106869,1.5356631679389312,0.5833333333333334,0.5773462783171521,1.0103699551569507,1.2933242264745461,5.550736645449219,-4.257412418974673,-17.054822195229026,7.646078546190627,-11.504085549779806,13.196815191639846,-14.180525738062588,15.798163092677624,16.15184920410552,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,4,10.0,48,48,0.5416666666666666,0.45436893203883494,1.1921296296296295,0.8711716524216524,1.513087606837607,0.6875,0.6750809061488673,1.0183964525407478,1.2933242264745461,5.550736645449219,-4.257412418974673,-17.054822195229026,7.646078546190627,-11.504085549779806,13.196815191639846,-14.180525738062588,15.798163092677624,16.15184920410552,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,4,25.0,48,48,0.6458333333333334,0.6,1.076388888888889,0.8680555555555557,1.2847222222222223,0.7916666666666666,0.7786407766990291,1.0167290108063176,1.2933242264745461,5.550736645449219,-4.257412418974673,-17.054822195229026,7.646078546190627,-11.504085549779806,13.196815191639846,-14.180525738062588,15.798163092677624,16.15184920410552,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,4,50.0,48,48,0.7916666666666666,0.7572815533980582,1.045405982905983,0.8803418803418803,1.1829594017094018,0.875,0.8841423948220065,0.9896595900439238,1.2933242264745461,5.550736645449219,-4.257412418974673,-17.054822195229026,7.646078546190627,-11.504085549779806,13.196815191639846,-14.180525738062588,15.798163092677624,16.15184920410552,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,9,0.0,48,48,0.22916666666666666,0.24271844660194175,0.9441666666666666,0.515,1.3754791666666548,0.625,0.5922330097087378,1.055327868852459,3.6249509893591476,11.018587311157493,-7.393636321798345,-26.37517581198133,9.646669592476975,-15.356588500823834,20.665256903634468,-18.16137575475627,23.29846999395556,11.167324454163655,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
momentum,KZT,0,2022-12…2023-05,BUY_NOW,fast,9,10.0,48,48,0.3333333333333333,0.3300970873786408,1.0098039215686274,0.6311274509803921,1.3884803921568627,0.6875,0.6614886731391586,1.0393224070450098,3.6249509893591476,11.018587311157493,-7.393636321798345,-26.37517581198133,9.646669592476975,-15.356588500823834,20.665256903634468,-18.16137575475627,23.29846999395556,11.167324454163655,0.25753585494864417,1.8461538461538463,0.0,0.1830083117690267,6.0,0.0,,,,,
