corridor,windows,pushes,freq_per_week_median,freq_per_week_min,freq_per_week_max,share_windows_in_band,empty_month_share_mean,longest_gap_days_max,clump_share_series_mean,storm_days,storm_blocked
AMD,7,110,0.4972677595628415,0.34615384615384615,1.5683060109289617,0.14285714285714285,0.15476190476190474,91.0,0.0,359,4
CNY,11,119,0.0,0.0,1.8641304347826089,0.2727272727272727,0.7424242424242423,182.0,0.0,968,25
KZT,8,125,0.32597730138713743,0.15384615384615385,1.6153846153846154,0.25,0.23958333333333331,124.0,0.0,835,28
