date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2025-03-04 18:00:00,KZT,reversal,"reversal(max_days_since_min=90,rearm=27,rise_bps=50,window=1080)",WINDOW_CLOSING,up,1.0,slow,4,0.18015,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 0.9247}","{""rise_pct"": 1.2078651685393238, ""min_rate"": 0.178, ""days_since_min"": 45.0, ""window"": 1080.0}"
2025-03-07 13:00:00,KZT,level,"level(pct=0.2,rearm=45,stall_days=0,window=1080)",BUY_NOW,down,0.8194444444444444,medium,4,0.181125,"{""window"": 1080, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 27, ""_score"": 1.1236}","{""pct_rank"": 0.03611111111111111, ""window"": 1080.0, ""days_since_min"": 67.0}"
2025-03-07 18:00:00,KZT,reversal,"reversal(max_days_since_min=90,rearm=27,rise_bps=50,window=1080)",WINDOW_CLOSING,up,1.0,slow,4,0.1815,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 0.9247}","{""rise_pct"": 1.96629213483146, ""min_rate"": 0.178, ""days_since_min"": 72.0, ""window"": 1080.0}"
2025-03-11 19:00:00,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=27,span=180,window=1080)",BUY_NOW,down,0.19444444444444442,medium,4,0.177875,"{""span"": 180, ""window"": 1080, ""pct"": 0.2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 1.1309}","{""dev_pct"": -2.7840929361906075, ""pct_rank"": 0.16111111111111112, ""window"": 1080.0, ""span"": 180.0}"
2025-03-12 18:00:00,KZT,reversal,"reversal(max_days_since_min=90,rearm=27,rise_bps=50,window=1080)",WINDOW_CLOSING,up,0.6184118060435617,slow,4,0.178975,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 0.9247}","{""rise_pct"": 0.6184118060435617, ""min_rate"": 0.177875, ""days_since_min"": 8.0, ""window"": 1080.0}"
2025-03-14 13:00:00,KZT,level,"level(pct=0.2,rearm=45,stall_days=0,window=1080)",BUY_NOW,down,0.9722222222222222,medium,4,0.178,"{""window"": 1080, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 27, ""_score"": 1.1236}","{""pct_rank"": 0.005555555555555556, ""window"": 1080.0, ""days_since_min"": 21.0}"
2025-03-17 11:00:00,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=27,span=180,window=1080)",BUY_NOW,down,0.08796296296296302,medium,4,0.177,"{""span"": 180, ""window"": 1080, ""pct"": 0.2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 1.1309}","{""dev_pct"": -2.598891473887266, ""pct_rank"": 0.1824074074074074, ""window"": 1080.0, ""span"": 180.0}"
2025-03-17 18:00:00,KZT,reversal,"reversal(max_days_since_min=90,rearm=27,rise_bps=50,window=1080)",WINDOW_CLOSING,up,1.0,slow,4,0.1785,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 0.9247}","{""rise_pct"": 1.4204545454545414, ""min_rate"": 0.176, ""days_since_min"": 1.0, ""window"": 1080.0}"
2025-03-20 18:00:00,KZT,reversal,"reversal(max_days_since_min=90,rearm=27,rise_bps=50,window=1080)",WINDOW_CLOSING,up,1.0,slow,4,0.179975,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 0.9247}","{""rise_pct"": 3.7319884726224823, ""min_rate"": 0.1735, ""days_since_min"": 19.0, ""window"": 1080.0}"
2025-03-21 13:00:00,KZT,level,"level(pct=0.2,rearm=45,stall_days=0,window=1080)",BUY_NOW,down,0.9305555555555556,medium,4,0.1764,"{""window"": 1080, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 45, ""_feasible"": true, ""_n_feasible"": 27, ""_score"": 1.1236}","{""pct_rank"": 0.013888888888888888, ""window"": 1080.0, ""days_since_min"": 23.0}"
