currency,n_days,first_day,last_day,median_diff_bps,median_abs_diff_bps,p90_abs_diff_bps,corr_levels,corr_changes,note
AMD,1038,2022-06-27,2026-09-02,104.9602481434575,124.50478417252553,402.27607232961594,0.971486630804512,0.35145576643063736,
CNY,2131,2018-01-09,2026-09-02,2.1495035640750615,30.90058568494758,106.95187165775444,0.995236839685082,0.543546155171023,
KGS,819,2022-11-03,2026-09-02,49.520253601886836,197.4122492742736,774.1681490474781,0.8332972358045482,0.026016677316133694,
KZT,1575,2018-12-18,2026-09-02,50.61706226917817,77.54427824171906,339.71654186900497,0.9908453678263706,0.38137574347423664,
TJS,17,,,,,,,,мало общих дней
UZS,638,2022-09-12,2026-09-02,-6.032297539997344,291.44576459525615,1293.9446738380975,0.7322305709938145,0.03817860845555597,
