corridor,indicator,split,window,params,feasible,n_feasible,fitted
KZT,momentum,7,2026-06…2026-09,"{""n"": 4, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.174}",True,6,
KZT,level,7,2026-06…2026-09,"{""window"": 2250, ""pct"": 0.15, ""stall_days"": 27, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 54, ""_score"": 1.1284}",True,54,
KZT,reversal,7,2026-06…2026-09,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 90, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 0.9451}",True,23,
KZT,dip_vs_trend,7,2026-06…2026-09,"{""span"": 180, ""window"": 2250, ""pct"": 0.1, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 26, ""_score"": 1.3617}",True,26,
AMD,momentum,0,2023-06…2023-11,"{""n"": 2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0767}",True,4,
AMD,level,0,2023-06…2023-11,"{""window"": 540, ""pct"": 0.2, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.42}",False,0,
AMD,reversal,0,2023-06…2023-11,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": null}",False,0,
AMD,dip_vs_trend,0,2023-06…2023-11,"{""span"": 180, ""window"": 1080, ""pct"": 0.2, ""rearm"": 45, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": null}",False,0,
AMD,momentum,1,2023-12…2024-05,"{""n"": 2, ""rearm"": 18, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0709}",True,4,
AMD,level,1,2023-12…2024-05,"{""window"": 540, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 0.9502}",False,0,
AMD,reversal,1,2023-12…2024-05,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 0.6192}",False,0,
AMD,dip_vs_trend,1,2023-12…2024-05,"{""span"": 180, ""window"": 2250, ""pct"": 0.15, ""rearm"": 45, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.1383}",False,0,
AMD,momentum,2,2024-06…2024-11,"{""n"": 4, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.1714}",True,6,
AMD,level,2,2024-06…2024-11,"{""window"": 540, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.1156}",True,7,
AMD,reversal,2,2024-06…2024-11,"{""window"": 540, ""rise_bps"": 20, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.0613}",True,2,
AMD,dip_vs_trend,2,2024-06…2024-11,"{""span"": 180, ""window"": 2250, ""pct"": 0.2, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.0033}",True,6,
AMD,momentum,3,2024-12…2025-05,"{""n"": 4, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.2097}",True,6,
AMD,level,3,2024-12…2025-05,"{""window"": 1080, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.1365}",True,23,
AMD,reversal,3,2024-12…2025-05,"{""window"": 540, ""rise_bps"": 50, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9648}",True,4,
AMD,dip_vs_trend,3,2024-12…2025-05,"{""span"": 720, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.051}",True,19,
AMD,momentum,4,2025-06…2025-11,"{""n"": 4, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.3127}",True,6,
AMD,level,4,2025-06…2025-11,"{""window"": 1080, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 33, ""_score"": 1.4859}",True,33,
AMD,reversal,4,2025-06…2025-11,"{""window"": 1080, ""rise_bps"": 50, ""max_days_since_min"": 180, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.2451}",True,10,
AMD,dip_vs_trend,4,2025-06…2025-11,"{""span"": 720, ""window"": 1080, ""pct"": 0.05, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 39, ""_score"": 1.5788}",True,39,
AMD,momentum,5,2025-12…2026-05,"{""n"": 4, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.3127}",True,6,
AMD,level,5,2025-12…2026-05,"{""window"": 2250, ""pct"": 0.3, ""stall_days"": 0, ""rearm"": 27, ""_feasible"": true, ""_n_feasible"": 44, ""_score"": 1.4244}",True,44,
