corridor,windows,pushes,freq_per_week_median,freq_per_week_min,freq_per_week_max,share_windows_in_band,empty_month_share_mean,longest_gap_days_max,clump_share_series_mean,storm_days,storm_blocked,holiday_blocked
AMD,11,125,0.4945652173913044,0.03867403314917127,0.7348066298342542,0.0,0.25757575757575757,168.0,0.0,55,17,59
KGS,11,106,0.4565217391304348,0.0,0.7348066298342542,0.0,0.25757575757575757,172.0,0.0,55,12,37
KZT,11,152,0.6086956521739131,0.07608695652173914,0.7608695652173914,0.0,0.10606060606060605,118.0,0.0,68,19,56
TJS,11,138,0.46408839779005523,0.19021739130434784,0.8508287292817679,0.0,0.1212121212121212,80.0,0.0,54,12,53
UZS,11,104,0.3076923076923077,0.03867403314917127,0.6961325966850829,0.0,0.3333333333333333,123.0,0.0,43,7,35
