date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts,decision,push_scenario
2025-10-21,KGS,reversal,"reversal(max_days_since_min=10,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,9,0.930217,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.2491}","{""rise_pct"": 3.181806081203997, ""min_rate"": 0.901532, ""days_since_min"": 4.0, ""window"": 60.0}",muted,
2025-10-24,KGS,reversal,"reversal(max_days_since_min=10,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,9,0.925915,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.2491}","{""rise_pct"": 2.704618360745936, ""min_rate"": 0.901532, ""days_since_min"": 7.0, ""window"": 60.0}",muted,
2025-10-24,KGS,seasonality,"seasonality(from_day=24,min_share=0.5,min_years=3,rearm=20)",BUY_NOW,down,0.6,slow,9,0.925915,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.1001}","{""k_years"": 6.0, ""n_years"": 10.0, ""target_month"": 11.0}",sent,BUY_NOW
2025-10-27,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.5,fast,9,0.9032,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0435}","{""streak"": 3.0, ""drop_pct"": -3.269889004553772}",muted,
2025-10-29,KGS,reversal,"reversal(max_days_since_min=10,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,9,0.908765,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.2491}","{""rise_pct"": 0.8023009721230155, ""min_rate"": 0.901532, ""days_since_min"": 10.0, ""window"": 60.0}",muted,
2025-11-20,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.5,fast,9,0.92318,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0435}","{""streak"": 3.0, ""drop_pct"": -0.4906589402974171}",muted,
2025-11-24,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.8333333333333334,fast,9,0.902461,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0435}","{""streak"": 5.0, ""drop_pct"": -2.7239547627978866}",muted,
2025-11-24,KGS,seasonality,"seasonality(from_day=24,min_share=0.5,min_years=3,rearm=20)",BUY_NOW,down,0.6,slow,9,0.902461,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.1001}","{""k_years"": 6.0, ""n_years"": 10.0, ""target_month"": 12.0}",sent,BUY_NOW
2025-11-26,KGS,level,"level(pct=0.25,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.23333333333333328,medium,9,0.898732,"{""window"": 120, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 40, ""_score"": 1.2879}","{""pct_rank"": 0.19166666666666668, ""window"": 120.0, ""days_since_min"": 97.0}",muted,
2025-11-26,KGS,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.3722291585307673,medium,9,0.898732,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.051, ""_fitted"": true, ""_pos_rate_val"": 0.266}","{""proba"": 0.3722291585307673, ""pct_rank"": 0.19166666666666668, ""window"": 120.0}",cooldown,
2025-11-28,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.5,fast,9,0.89455,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0435}","{""streak"": 3.0, ""drop_pct"": -0.9284188306330599}",muted,
2025-12-02,KGS,momentum,"momentum(n=3,rearm=2)",BUY_NOW,down,0.8333333333333334,fast,9,0.885799,"{""n"": 3, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0435}","{""streak"": 5.0, ""drop_pct"": -1.8975937306533242}",muted,
2025-12-03,KGS,level,"level(pct=0.25,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.8333333333333334,medium,9,0.891431,"{""window"": 120, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 40, ""_score"": 1.2879}","{""pct_rank"": 0.041666666666666664, ""window"": 120.0, ""days_since_min"": 1.0}",muted,
2025-12-03,KGS,reversal,"reversal(max_days_since_min=10,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,9,0.891431,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.2491}","{""rise_pct"": 0.6358101555770546, ""min_rate"": 0.885799, ""days_since_min"": 1.0, ""window"": 60.0}",muted,
2025-12-04,KGS,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.14229178650266075,medium,9,0.880169,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.051, ""_fitted"": true, ""_pos_rate_val"": 0.266}","{""proba"": 0.14229178650266075, ""pct_rank"": 0.008333333333333333, ""window"": 120.0}",sent,BUY_NOW
2025-12-05,KGS,dip_vs_trend,"dip_vs_trend(pct=0.15,rearm=3,span=40,window=250)",BUY_NOW,down,0.013333333333333308,medium,9,0.87014,"{""span"": 40, ""window"": 250, ""pct"": 0.15, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.2806}","{""dev_pct"": -4.863546939073949, ""pct_rank"": 0.148, ""window"": 250.0, ""span"": 40.0}",muted,
2025-12-08,KGS,reversal,"reversal(max_days_since_min=10,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,9,0.883628,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.2491}","{""rise_pct"": 1.5500953869492127, ""min_rate"": 0.87014, ""days_since_min"": 1.0, ""window"": 60.0}",muted,
2025-12-10,KGS,level,"level(pct=0.25,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.7333333333333334,medium,9,0.890792,"{""window"": 120, ""pct"": 0.25, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 40, ""_score"": 1.2879}","{""pct_rank"": 0.06666666666666667, ""window"": 120.0, ""days_since_min"": 3.0}",muted,
2025-12-11,KGS,reversal,"reversal(max_days_since_min=10,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,9,0.907259,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.2491}","{""rise_pct"": 4.265865263061119, ""min_rate"": 0.87014, ""days_since_min"": 4.0, ""window"": 60.0}",muted,
