pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
ml_localmin → ml_localmin,all,46,272,297,1.1558207648258547,1.1682039918002378,0.0123832269743831,-0.06467383797364692,0.0805315867821769,36.987921164500456,36.323978754048355,-0.6639424104521012,-17.26656072225162,12.73170373602386,10,-0.05801858199003099,0.09543077222150753,-14.378489847457143,14.657451923999478,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,AMD,8,41,41,1.4404355857191993,1.3454278424709019,-0.09500774324829742,-0.26290111431126584,0.17681948876977804,119.94351531661962,93.43004890668,-26.513466409939625,-107.44504791234928,26.126520047400323,8,-0.26290111431126584,0.17681948876977804,-107.44504791234928,26.126520047400323,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KGS,10,63,69,1.2781639046769864,1.2221046394231485,-0.056059265253837864,-0.31154446550587067,0.06696721136294732,59.600690695771405,63.28501291354492,3.684322217773513,-8.39038252668995,14.104336645876092,10,-0.31154446550587067,0.06696721136294732,-8.39038252668995,14.104336645876092,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,KZT,9,56,64,1.086659524027471,1.2244212458977248,0.13776172187025382,0.020708770223798377,0.2821658435220985,9.940140438710113,23.243677881118487,13.303537442408373,-14.317186418237835,45.537229018165185,9,0.020708770223798377,0.2821658435220985,-14.317186418237835,45.537229018165185,вариант,вариант,разницы нет,разницы нет
ml_localmin → ml_localmin,TJS,10,53,55,1.0974467796595493,1.1251709757098887,0.027724196050339378,-0.04430142321134013,0.11388994357068771,7.296454860878064,2.669935601910581,-4.626519258967482,-68.44370468234642,40.58997892916161,10,-0.04430142321134013,0.11388994357068771,-68.44370468234642,40.58997892916161,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin → ml_localmin,UZS,9,59,68,0.9821338403579795,1.013303645310745,0.031169804952765445,-0.12645699192866297,0.18034870139627301,7.539439707369737,14.065911047753161,6.5264713403834245,-13.25363191216613,26.8965599247148,9,-0.12645699192866297,0.18034870139627301,-13.25363191216613,26.8965599247148,разницы нет,разницы нет,разницы нет,разницы нет
