indicator,sent_latest,muted_latest,thinned_latest,cooldown_latest,storm_latest,sent_variant,muted_variant,thinned_variant,cooldown_variant,storm_variant
dip_vs_trend,54,309,38,90,5,54,309,41,87,5
level,193,146,76,192,16,197,146,76,188,16
ml_localmin,84,40,61,81,6,95,60,49,89,4
momentum,239,484,88,152,25,232,484,93,154,25
reversal,90,295,5,125,10,87,295,6,127,10
seasonality,75,12,24,18,5,76,12,22,19,5
