corridor,windows,pushes,freq_per_week_median,freq_per_week_min,freq_per_week_max,share_windows_in_band,empty_month_share_mean,longest_gap_days_max,clump_share_series_mean,storm_days,storm_blocked
AMD,11,144,0.532608695652174,0.03867403314917127,0.8508287292817679,0.0,0.22727272727272727,168.0,0.0,55,17
KGS,11,129,0.5414364640883977,0.07734806629834254,0.9281767955801105,0.0,0.2121212121212121,105.0,0.0,55,12
KZT,11,184,0.6467391304347826,0.2282608695652174,0.9130434782608696,0.0,0.0606060606060606,92.0,0.0,68,19
TJS,11,157,0.5384615384615384,0.19021739130434784,0.9668508287292817,0.0,0.09090909090909091,80.0,0.0,54,11
UZS,11,123,0.38461538461538464,0.07734806629834254,0.8369565217391305,0.0,0.2727272727272727,119.0,0.0,43,7
