corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,105,0.6095238095238096,0.5224434547246547,1.2662337662337664,1.2745098039215685,85.40844896336533,119.94156814224841,0.3804347826086957,1.166679004228408
AMD,WINDOW_CLOSING,9,39,0.4358974358974359,0.39627306997592593,1.0483870967741935,1.0483870967741935,31.543363865812772,79.74979311972302,0.11602209944751381,1.0999925781580797
KGS,BUY_NOW,11,113,0.5309734513274337,0.4835595611598973,1.0197628458498025,0.9629629629629629,58.053582150018784,85.00220010580544,0.3804347826086957,1.0980518099028098
KGS,WINDOW_CLOSING,3,16,0.3125,0.4047371340064482,0.963265306122449,0.963265306122449,-81.27644852927926,-55.60730180055854,0.19337016574585636,0.7721060751372057
KZT,BUY_NOW,11,172,0.5290697674418605,0.5067300895885212,1.1375,1.2745098039215685,23.18834752615542,39.053263158869136,0.6187845303867403,1.0440859509082632
KZT,WINDOW_CLOSING,4,12,0.3333333333333333,0.45223790465217345,0.803968253968254,0.803968253968254,-186.34395708606655,-112.53237226000071,0.11507626711506125,0.7370751763714004
TJS,BUY_NOW,11,145,0.5310344827586206,0.5509450594104596,0.9756302521008404,0.8855835240274599,3.489753854314607,15.130264341494186,0.5384615384615384,0.963861048734797
TJS,WINDOW_CLOSING,3,12,0.5833333333333334,0.43480533685500183,1.2291666666666665,1.2291666666666665,29.79126458715767,31.256156314432705,0.07734806629834254,1.3415965350210557
UZS,BUY_NOW,11,114,0.5,0.4844107230839915,1.0833333333333333,1.0,18.430875535978437,16.991844912986515,0.34806629834254144,1.0321819401865417
UZS,WINDOW_CLOSING,3,9,0.5555555555555556,0.39562958246442675,1.1727272727272728,1.1727272727272728,129.06683353169367,116.08881313628878,0.11602209944751381,1.4042315847438145
