scenario,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
BUY_NOW,55,645,508,1.0408172315365805,1.0302340851665142,-0.010583146370066299,-0.0686345571487213,0.05113331025239886,34.25731206598712,21.218524106137167,-13.038787959849955,-38.302478693951706,7.069092226487204,11,-0.09028725358161784,0.07300449392221997,-57.71331912386494,14.42275119895677,разницы нет,разницы нет,разницы нет,разницы нет
WINDOW_CLOSING,24,90,90,1.1066079387060086,1.048662212846708,-0.05794572585930058,-0.22097005863973374,0.06560279659239156,-26.552353629577343,-27.51677207566266,-0.9644184460853182,-36.942920682551424,33.24865961525,10,-0.12345093122253448,0.022689958268295566,-44.61468637946305,31.943528338354472,разницы нет,разницы нет,разницы нет,разницы нет
all,55,735,598,1.0474663409853064,1.0326578126316543,-0.014808528353652095,-0.06614140952694074,0.03804679841339658,26.811230552244535,13.88378053362549,-12.927450018619044,-35.830299311217786,6.620463731969201,11,-0.08838504513422198,0.06351563232088328,-56.16691492621394,12.594430187172385,разницы нет,разницы нет,разницы нет,разницы нет
