corridor,windows,pushes,freq_per_week_median,empty_month_share_mean,storm_blocked
AMD,4,65,0.6277173913043479,0.12499999999999997,0
KGS,4,71,0.7228260869565217,0.12499999999999997,9
KZT,4,64,0.6159470333893826,0.20833333333333331,0
TJS,4,75,0.7449832775919732,0.12499999999999997,12
UZS,4,70,0.7259615384615384,0.12499999999999997,7
all,4,345,0.7069397993311037,0.14166666666666666,28
