indicator,sent_latest,muted_latest,thinned_latest,cooldown_latest,storm_latest,sent_variant,muted_variant,thinned_variant,cooldown_variant,storm_variant
dip_vs_trend,54,309,38,90,5,66,292,36,96,6
level,193,146,76,192,16,250,24,89,241,19
ml_localmin,84,40,61,81,6,72,64,40,91,5
momentum,239,484,88,152,25,58,847,41,34,8
reversal,90,295,5,125,10,90,307,7,108,13
seasonality,75,12,24,18,5,62,41,15,12,4
