corridor,pushes_latest,freq_per_week_median_latest,empty_month_share_mean_latest,storm_blocked_latest,pushes_variant,freq_per_week_median_variant,empty_month_share_mean_variant,storm_blocked_variant,pushes_diff
AMD,144,0.532608695652174,0.22727272727272727,17,110,0.4184782608695652,0.3333333333333333,11,-34
KGS,130,0.5414364640883977,0.2121212121212121,12,140,0.4945652173913044,0.28787878787878785,13,10
KZT,181,0.6467391304347826,0.07575757575757575,19,160,0.6187845303867403,0.1515151515151515,14,-21
TJS,159,0.5384615384615384,0.07575757575757575,12,82,0.1538461538461538,0.45454545454545453,10,-77
UZS,121,0.3846153846153846,0.2727272727272727,7,106,0.3846153846153846,0.3333333333333333,7,-15
