corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,106,0.5566037735849056,0.5111850827993356,1.0661157024793388,0.9750000000000001,34.29509998418556,88.66936571731142,0.3804347826086957,1.088849796901055
AMD,WINDOW_CLOSING,8,29,0.4827586206896552,0.39618707813005777,1.1189516129032258,1.1189516129032258,-1.2056251477694069,-67.29609664316773,0.09605452798462646,1.2185117772346383
KGS,BUY_NOW,11,102,0.5098039215686274,0.48597093223181226,1.0597826086956523,1.0155038759689923,20.181511326337297,45.85065805505803,0.3867403314917127,1.0490420059227876
KGS,WINDOW_CLOSING,5,17,0.4117647058823529,0.32034496787910965,1.3,1.3,44.407452398871285,32.368795248448045,0.07608695652173914,1.285379035633058
KZT,BUY_NOW,11,103,0.49514563106796117,0.47331517450302235,1.0350877192982457,0.8506493506493505,6.28893359441815,28.376641176595406,0.3423913043478261,1.046122452312797
KZT,WINDOW_CLOSING,7,13,0.38461538461538464,0.3482929060067042,0.0,0.0,76.27586063182363,-2.7880790781020792,0.03867403314917127,1.1042871617028607
TJS,BUY_NOW,11,89,0.6067415730337079,0.5529879591614209,1.1238095238095238,1.0197628458498023,43.8654481953366,54.85582334524653,0.27071823204419887,1.0972057582479766
TJS,WINDOW_CLOSING,4,13,0.6153846153846154,0.4545362429598808,1.1881578947368423,1.1881578947368423,-11.013280052818175,-42.379300448426804,0.11602209944751381,1.353873590755516
UZS,BUY_NOW,11,74,0.47297297297297297,0.5176786038161348,0.8125,0.8,-11.539868209727212,-1.194147692017628,0.23204419889502761,0.9136421120872902
UZS,WINDOW_CLOSING,7,17,0.47058823529411764,0.31016301126435836,1.7101449275362317,1.7101449275362317,65.33008028019935,10.15275261304294,0.07734806629834254,1.517228741672957
