corridor,windows,pushes,freq_per_week_median,freq_per_week_min,freq_per_week_max,share_windows_in_band,empty_month_share_mean,longest_gap_days_max,clump_share_series_mean,storm_days,storm_blocked
AMD,15,175,0.41847826086956524,0.03867403314917127,0.8508287292817679,0.0,0.27777777777777773,168.0,0.0,96,11
KGS,15,211,0.5414364640883977,0.07734806629834254,0.8895027624309392,0.0,0.24444444444444444,143.0,0.0,100,22
KZT,15,224,0.6187845303867403,0.07608695652173914,0.9891304347826088,0.0,0.16666666666666666,120.0,0.0,97,14
TJS,15,157,0.4565217391304348,0.03804347826086957,0.9281767955801105,0.0,0.36666666666666664,178.0,0.0,93,22
UZS,15,176,0.5027624309392265,0.07734806629834254,0.9668508287292817,0.0,0.27777777777777773,167.0,0.0,73,14
