indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,hit_mean_trunc,base_mean_trunc,n_scored_trunc,lift_mean_trunc,benefit_excess_trunc,base_mean_month_trunc,benefit_excess_month_trunc
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,1,0.0,23,23,0.391304347826087,0.4396551724137931,0.8900255754475704,0.3955669224211424,1.3844842284739984,0.391304347826087,0.4396551724137931,0.8900255754475704,-9.303537850461966,-5.295993123671765,-4.007544726790202,-20.89280871668014,11.628531856179738,-26.188801840351903,6.332538732507973,-23.1189346509697,5.556013720275199,23.686765396550935,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,1,10.0,23,23,0.6086956521739131,0.5689655172413793,1.069828722002635,0.6877470355731226,1.4519104084321475,0.6086956521739131,0.5689655172413793,1.069828722002635,-9.303537850461966,-5.295993123671765,-4.007544726790202,-20.89280871668014,11.628531856179738,-26.188801840351903,6.332538732507973,-23.1189346509697,5.556013720275199,23.686765396550935,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,1,25.0,23,23,0.6086956521739131,0.6810344827586207,0.8937809576224547,0.5745734727572923,1.212988442487617,0.6086956521739131,0.6810344827586207,0.8937809576224547,-9.303537850461966,-5.295993123671765,-4.007544726790202,-20.89280871668014,11.628531856179738,-26.188801840351903,6.332538732507973,-23.1189346509697,5.556013720275199,23.686765396550935,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,1,50.0,23,23,0.8260869565217391,0.8448275862068966,0.9778172138420586,0.771960958296362,1.132209405501331,0.8260869565217391,0.8448275862068966,0.9778172138420586,-9.303537850461966,-5.295993123671765,-4.007544726790202,-20.89280871668014,11.628531856179738,-26.188801840351903,6.332538732507973,-23.1189346509697,5.556013720275199,23.686765396550935,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,3,0.0,23,23,0.13043478260869565,0.22413793103448276,0.5819397993311036,0.0,1.1638795986622072,0.30434782608695654,0.4224137931034483,0.7204968944099379,-18.980190586903056,-9.93701096794531,-9.043179618957746,-29.79666509923367,11.786594999402718,-39.73367606717898,1.8495840314574075,-39.08042462941208,1.872361218298388,28.93995003839873,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,3,10.0,23,23,0.2608695652173913,0.35344827586206895,0.7380699893955461,0.24602332979851538,1.230116648992577,0.34782608695652173,0.49137931034482757,0.7078565980167811,-18.980190586903056,-9.93701096794531,-9.043179618957746,-29.79666509923367,11.786594999402718,-39.73367606717898,1.8495840314574075,-39.08042462941208,1.872361218298388,28.93995003839873,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,3,25.0,23,23,0.2608695652173913,0.46551724137931033,0.5603864734299517,0.18679549114331723,0.9339774557165862,0.5652173913043478,0.6206896551724138,0.9106280193236714,-18.980190586903056,-9.93701096794531,-9.043179618957746,-29.79666509923367,11.786594999402718,-39.73367606717898,1.8495840314574075,-39.08042462941208,1.872361218298388,28.93995003839873,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,3,50.0,23,23,0.4782608695652174,0.5775862068965517,0.8280337443218689,0.4516547696301103,1.2044127190136276,0.7391304347826086,0.7241379310344828,1.020703933747412,-18.980190586903056,-9.93701096794531,-9.043179618957746,-29.79666509923367,11.786594999402718,-39.73367606717898,1.8495840314574075,-39.08042462941208,1.872361218298388,28.93995003839873,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,5,0.0,23,23,0.13043478260869565,0.19827586206896552,0.6578449905482041,0.0,1.3156899810964082,0.21739130434782608,0.3879310344827586,0.5603864734299516,-27.29988836576052,-14.618492056996534,-12.681396308763986,-40.59704123523184,14.095377878062449,-55.21553329222837,-0.5231141789340857,-49.61674442153415,-1.6141260438143552,31.360286657881964,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,5,10.0,23,23,0.17391304347826086,0.27586206896551724,0.6304347826086957,0.15760869565217392,1.2608695652173914,0.30434782608695654,0.4827586206896552,0.6304347826086957,-27.29988836576052,-14.618492056996534,-12.681396308763986,-40.59704123523184,14.095377878062449,-55.21553329222837,-0.5231141789340857,-49.61674442153415,-1.6141260438143552,31.360286657881964,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,5,25.0,23,23,0.17391304347826086,0.3620689655172414,0.4803312629399586,0.12008281573498965,0.9606625258799172,0.43478260869565216,0.5603448275862069,0.7759197324414716,-27.29988836576052,-14.618492056996534,-12.681396308763986,-40.59704123523184,14.095377878062449,-55.21553329222837,-0.5231141789340857,-49.61674442153415,-1.6141260438143552,31.360286657881964,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,5,50.0,23,23,0.2608695652173913,0.43103448275862066,0.6052173913043478,0.20173913043478262,1.008695652173913,0.6956521739130435,0.7068965517241379,0.9840933191940615,-27.29988836576052,-14.618492056996534,-12.681396308763986,-40.59704123523184,14.095377878062449,-55.21553329222837,-0.5231141789340857,-49.61674442153415,-1.6141260438143552,31.360286657881964,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,10,0.0,23,23,0.13043478260869565,0.12931034482758622,1.008695652173913,0.0,2.017391304347826,0.30434782608695654,0.4051724137931034,0.7511563367252545,-29.408498736084073,-24.72407100622576,-4.684427729858314,-41.535149326129556,33.032942707973284,-66.25922033235531,8.308871701747526,-56.84651943500295,3.5526328147297828,38.643410835487366,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,10,10.0,23,23,0.17391304347826086,0.16379310344827586,1.0617848970251715,0.2654462242562929,2.123569794050343,0.34782608695652173,0.43103448275862066,0.8069565217391305,-29.408498736084073,-24.72407100622576,-4.684427729858314,-41.535149326129556,33.032942707973284,-66.25922033235531,8.308871701747526,-56.84651943500295,3.5526328147297828,38.643410835487366,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
momentum,TJS,0,2019-01…2019-06,BUY_NOW,fast,10,25.0,23,23,0.17391304347826086,0.25862068965517243,0.672463768115942,0.1681159420289855,1.344927536231884,0.43478260869565216,0.5086206896551724,0.8548268238761976,-29.408498736084073,-24.72407100622576,-4.684427729858314,-41.535149326129556,33.032942707973284,-66.25922033235531,8.308871701747526,-56.84651943500295,3.5526328147297828,38.643410835487366,-43.21346777893363,0.8895027624309392,0.5909090909090909,0.8566141732985451,21.0,0.0,,,,,,,
